    한국기록      종전한국      아시아최고      세계최고
        김완기        황영조       고다마(일본)     딘사모(이디오피아)
       94.3.20       92.2.2        86.10.19         88.4.17
    ---------------------------------------------------------------------
     5km    14:07           15:03           14:52            15:05
    10km    29:15(15:08)    30:12(15:09)    29:37(14:45)     30:05(15:00)
    15km    44:59(15:44)    45:28(15:16)    44:22(14:45)     45:06(15:01)
    20km  1.00:31(15:32)  1.00:41(15:13)    58:35(14:13)   1.00:14(15:08)
    25km  1.15:51(15.21)  1.15:48(15:07)  1.13:51(15:16)   1.15:12(14:58)
    30km  1.31:05(15:14)  1.30:58(15:10)  1.29:24(15:33)   1.30:13(15:01)
    35km  1.46:29(15.24)  1.46:11(15:13)  1.44:58(15:34)   1.45:22(15:09)
    40km  2.02:04(15:35)  2.02:01(15:50)  2.01:09(16:11)   2.00:20(14:58)
    골인  2.08.34(06:30)  2.08:47(06:46)  2.07:35(06:26)   2.06:50(06:30)
                    
                    
                    
                    
                    



